family,gotript,gobookt,numiworks,stayviaowner,TOTAL
OTHER: abu-dhabi-vs-dubai,1,0,1,0,2
OTHER: alaska-cruises,1,0,0,0,1
OTHER: amsterdam-vs-copenhagen,1,0,1,0,2
OTHER: asia-cruises,1,0,0,0,1
OTHER: athens-vs-santorini,1,0,1,0,2
OTHER: auckland-vs-queenstown,1,0,1,0,2
OTHER: bali-vs-phuket,1,0,1,0,2
OTHER: bangkok-vs-chiang-mai,1,0,1,0,2
OTHER: bangkok-vs-singapore,1,0,1,0,2
OTHER: barcelona-vs-lisbon,1,0,1,0,2
OTHER: barcelona-vs-madrid,1,0,1,0,2
OTHER: beach-houses,1,1,0,1,3
OTHER: beach-villas,1,1,0,1,3
OTHER: berlin-vs-munich,1,0,1,0,2
OTHER: berlin-vs-prague,1,0,1,0,2
OTHER: budapest-vs-prague,1,0,1,0,2
OTHER: budapest-vs-vienna,1,0,1,0,2
OTHER: buenos-aires-vs-rio-de-janeiro,1,0,1,0,2
OTHER: cabins,1,1,0,1,3
OTHER: cancun-vs-mexico-city,1,0,1,0,2
OTHER: cancun-vs-tulum,1,0,1,0,2
OTHER: cape-town-vs-marrakech,1,0,1,0,2
OTHER: caribbean-cruises,1,0,0,0,1
OTHER: chalets,1,1,0,1,3
OTHER: chicago-vs-new-york,1,0,1,0,2
OTHER: condos,1,1,0,1,3
OTHER: copenhagen-vs-stockholm,1,0,1,0,2
OTHER: cottages,1,1,0,1,3
OTHER: dublin-vs-edinburgh,1,0,1,0,2
OTHER: edinburgh-vs-london,1,0,1,0,2
OTHER: family-villas,1,1,0,1,3
OTHER: farmhouses,1,1,0,1,3
OTHER: florence-vs-milan,1,0,1,0,2
OTHER: florence-vs-rome,1,0,1,0,2
OTHER: florence-vs-venice,1,0,1,0,2
OTHER: glamping,1,1,0,1,3
OTHER: hanoi-vs-ho-chi-minh-city,1,0,1,0,2
OTHER: hong-kong-vs-singapore,1,0,1,0,2
OTHER: hotels/adults-only-hotels-in-abu-dhabi,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-agra,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-amman,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-amsterdam,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-antwerp,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-athens,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-auckland,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-austin,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-bali,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-banff,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-bangkok,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-barcelona,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-basel,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-beijing,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-bergen,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-berlin,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-bern,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-blue-ridge,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-bogota,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-bologna,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-bora-bora,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-boracay,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-bordeaux,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-boston,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-brisbane,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-broken-bow,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-bruges,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-brussels,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-bucharest,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-budapest,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-buenos-aires,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-busan,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-cabo-san-lucas,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-cairns,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-cairo,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-cancun,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-cape-town,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-cappadocia,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-cartagena,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-casablanca,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-cebu,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-charleston,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-chefchaouen,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-chiang-mai,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-chicago,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-cinque-terre,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-cologne,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-colombo,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-copenhagen,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-corfu,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-crete,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-cusco,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-da-nang,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-delhi,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-denver,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-destin,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-doha,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-dubai,0,1,0,0,1
