family,city,slug,base,vs,title_sim,meta_sim,h1_sim,body_jaccard,body_seq,base_len,vs_len,oneLiner_shared,base_robots,vs_robots,schema_both,codes,note,brands_200
seasonal:spring-in,paris,spring-in-paris,gotript,numiworks,1.0,1.0,1.0,0.28,0.15,3054,8548,Y,index,index,Y,"gotript:200,gobookt:308,numiworks:200,stayviaowner:200",,
seasonal:spring-in,paris,spring-in-paris,gotript,stayviaowner,1.0,1.0,1.0,0.8,0.8,3054,2770,Y,index,"noindex, follow",Y,"gotript:200,gobookt:308,numiworks:200,stayviaowner:200",,
seasonal:spring-in,rome,spring-in-rome,gotript,numiworks,1.0,1.0,1.0,0.27,0.02,3000,8624,Y,index,index,Y,"gotript:200,gobookt:308,numiworks:200,stayviaowner:200",,
seasonal:spring-in,rome,spring-in-rome,gotript,stayviaowner,1.0,1.0,1.0,0.8,0.8,3000,2722,Y,index,"noindex, follow",Y,"gotript:200,gobookt:308,numiworks:200,stayviaowner:200",,
seasonal:spring-in,tokyo,spring-in-tokyo,gotript,numiworks,1.0,1.0,1.0,0.28,0.02,3055,8464,Y,index,index,Y,"gotript:200,gobookt:308,numiworks:200,stayviaowner:200",,
seasonal:spring-in,tokyo,spring-in-tokyo,gotript,stayviaowner,1.0,1.0,1.0,0.8,0.8,3055,2771,Y,index,"noindex, follow",Y,"gotript:200,gobookt:308,numiworks:200,stayviaowner:200",,
seasonal:spring-in,barcelona,spring-in-barcelona,gotript,numiworks,1.0,1.0,1.0,0.27,0.03,3325,8922,Y,index,index,Y,"gotript:200,gobookt:308,numiworks:200,stayviaowner:200",,
seasonal:spring-in,barcelona,spring-in-barcelona,gotript,stayviaowner,1.0,1.0,1.0,0.8,0.81,3325,3017,Y,index,"noindex, follow",Y,"gotript:200,gobookt:308,numiworks:200,stayviaowner:200",,
seasonal:spring-in,lisbon,spring-in-lisbon,gotript,numiworks,1.0,1.0,1.0,0.28,0.14,3117,8193,Y,index,index,Y,"gotript:200,gobookt:308,numiworks:200,stayviaowner:200",,
seasonal:spring-in,lisbon,spring-in-lisbon,gotript,stayviaowner,1.0,1.0,1.0,0.8,0.78,3117,2827,Y,index,"noindex, follow",Y,"gotript:200,gobookt:308,numiworks:200,stayviaowner:200",,
seasonal:spring-in,dubai,spring-in-dubai,gotript,numiworks,1.0,1.0,1.0,0.3,0.03,3073,8900,Y,index,index,Y,"gotript:200,gobookt:308,numiworks:200,stayviaowner:200",,
seasonal:spring-in,dubai,spring-in-dubai,gotript,stayviaowner,1.0,1.0,1.0,0.81,0.77,3073,2789,Y,index,"noindex, follow",Y,"gotript:200,gobookt:308,numiworks:200,stayviaowner:200",,
seasonal:spring-in,bangkok,spring-in-bangkok,gotript,numiworks,1.0,1.0,1.0,0.28,0.01,3194,8723,Y,index,index,Y,"gotript:200,gobookt:308,numiworks:200,stayviaowner:200",,
seasonal:spring-in,bangkok,spring-in-bangkok,gotript,stayviaowner,1.0,1.0,1.0,0.8,0.8,3194,2898,Y,index,"noindex, follow",Y,"gotript:200,gobookt:308,numiworks:200,stayviaowner:200",,
seasonal:spring-in,mexico-city,spring-in-mexico-city,gotript,numiworks,1.0,1.0,1.0,0.28,0.16,3426,8449,Y,index,index,Y,"gotript:200,gobookt:308,numiworks:200,stayviaowner:200",,
seasonal:spring-in,mexico-city,spring-in-mexico-city,gotript,stayviaowner,1.0,1.0,1.0,0.8,0.82,3426,3106,Y,index,"noindex, follow",Y,"gotript:200,gobookt:308,numiworks:200,stayviaowner:200",,
seasonal:spring-in,cape-town,spring-in-cape-town,gotript,numiworks,1.0,1.0,1.0,0.29,0.15,3316,8500,Y,index,index,Y,"gotript:200,gobookt:308,numiworks:200,stayviaowner:200",,
seasonal:spring-in,cape-town,spring-in-cape-town,gotript,stayviaowner,1.0,1.0,1.0,0.8,0.81,3316,3008,Y,index,"noindex, follow",Y,"gotript:200,gobookt:308,numiworks:200,stayviaowner:200",,
seasonal:spring-in,reykjavik,spring-in-reykjavik,gotript,numiworks,1.0,1.0,1.0,0.29,0.02,3277,8605,Y,index,index,Y,"gotript:200,gobookt:308,numiworks:200,stayviaowner:200",,
seasonal:spring-in,reykjavik,spring-in-reykjavik,gotript,stayviaowner,1.0,1.0,1.0,0.8,0.81,3277,2969,Y,index,"noindex, follow",Y,"gotript:200,gobookt:308,numiworks:200,stayviaowner:200",,
occasion:bachelor-party,paris,bachelor-party-in-paris,gotript,numiworks,1.0,1.0,1.0,0.3,0.01,3096,8073,Y,index,index,Y,"gotript:200,gobookt:308,numiworks:200,stayviaowner:200",,
occasion:bachelor-party,paris,bachelor-party-in-paris,gotript,stayviaowner,1.0,1.0,1.0,0.81,0.8,3096,2812,Y,index,"noindex, follow",Y,"gotript:200,gobookt:308,numiworks:200,stayviaowner:200",,
occasion:bachelor-party,rome,bachelor-party-in-rome,gotript,numiworks,1.0,1.0,1.0,0.27,0.03,3042,8554,Y,index,index,Y,"gotript:200,gobookt:308,numiworks:200,stayviaowner:200",,
occasion:bachelor-party,rome,bachelor-party-in-rome,gotript,stayviaowner,1.0,1.0,1.0,0.81,0.77,3042,2764,Y,index,"noindex, follow",Y,"gotript:200,gobookt:308,numiworks:200,stayviaowner:200",,
occasion:bachelor-party,tokyo,bachelor-party-in-tokyo,gotript,numiworks,1.0,1.0,1.0,0.27,0.16,3097,8290,Y,index,index,Y,"gotript:200,gobookt:308,numiworks:200,stayviaowner:200",,
occasion:bachelor-party,tokyo,bachelor-party-in-tokyo,gotript,stayviaowner,1.0,1.0,1.0,0.8,0.8,3097,2813,Y,index,"noindex, follow",Y,"gotript:200,gobookt:308,numiworks:200,stayviaowner:200",,
occasion:bachelor-party,barcelona,bachelor-party-in-barcelona,gotript,numiworks,1.0,1.0,1.0,0.29,0.16,3367,8421,Y,index,index,Y,"gotript:200,gobookt:308,numiworks:200,stayviaowner:200",,
occasion:bachelor-party,barcelona,bachelor-party-in-barcelona,gotript,stayviaowner,1.0,1.0,1.0,0.81,0.79,3367,3059,Y,index,"noindex, follow",Y,"gotript:200,gobookt:308,numiworks:200,stayviaowner:200",,
occasion:bachelor-party,lisbon,bachelor-party-in-lisbon,gotript,numiworks,1.0,1.0,1.0,0.3,0.04,3159,8514,Y,index,index,Y,"gotript:200,gobookt:308,numiworks:200,stayviaowner:200",,
occasion:bachelor-party,lisbon,bachelor-party-in-lisbon,gotript,stayviaowner,1.0,1.0,1.0,0.81,0.78,3159,2869,Y,index,"noindex, follow",Y,"gotript:200,gobookt:308,numiworks:200,stayviaowner:200",,
occasion:bachelor-party,dubai,bachelor-party-in-dubai,gotript,numiworks,1.0,1.0,1.0,0.31,0.02,3115,8395,Y,index,index,Y,"gotript:200,gobookt:308,numiworks:200,stayviaowner:200",,
occasion:bachelor-party,dubai,bachelor-party-in-dubai,gotript,stayviaowner,1.0,1.0,1.0,0.81,0.78,3115,2831,Y,index,"noindex, follow",Y,"gotript:200,gobookt:308,numiworks:200,stayviaowner:200",,
occasion:bachelor-party,bangkok,bachelor-party-in-bangkok,gotript,numiworks,1.0,1.0,1.0,0.29,0.02,3236,8543,Y,index,index,Y,"gotript:200,gobookt:308,numiworks:200,stayviaowner:200",,
occasion:bachelor-party,bangkok,bachelor-party-in-bangkok,gotript,stayviaowner,1.0,1.0,1.0,0.81,0.81,3236,2940,Y,index,"noindex, follow",Y,"gotript:200,gobookt:308,numiworks:200,stayviaowner:200",,
occasion:bachelor-party,mexico-city,bachelor-party-in-mexico-city,gotript,numiworks,1.0,1.0,1.0,0.31,0.04,3468,8468,Y,index,index,Y,"gotript:200,gobookt:308,numiworks:200,stayviaowner:200",,
occasion:bachelor-party,mexico-city,bachelor-party-in-mexico-city,gotript,stayviaowner,1.0,1.0,1.0,0.81,0.82,3468,3148,Y,index,"noindex, follow",Y,"gotript:200,gobookt:308,numiworks:200,stayviaowner:200",,
occasion:bachelor-party,cape-town,bachelor-party-in-cape-town,gotript,numiworks,1.0,1.0,1.0,0.29,0.16,3358,8409,Y,index,index,Y,"gotript:200,gobookt:308,numiworks:200,stayviaowner:200",,
occasion:bachelor-party,cape-town,bachelor-party-in-cape-town,gotript,stayviaowner,1.0,1.0,1.0,0.81,0.79,3358,3050,Y,index,"noindex, follow",Y,"gotript:200,gobookt:308,numiworks:200,stayviaowner:200",,
occasion:bachelor-party,reykjavik,bachelor-party-in-reykjavik,gotript,numiworks,1.0,1.0,1.0,0.29,0.13,3319,8482,Y,index,index,Y,"gotript:200,gobookt:308,numiworks:200,stayviaowner:200",,
occasion:bachelor-party,reykjavik,bachelor-party-in-reykjavik,gotript,stayviaowner,1.0,1.0,1.0,0.81,0.81,3319,3011,Y,index,"noindex, follow",Y,"gotript:200,gobookt:308,numiworks:200,stayviaowner:200",,
occasion:honeymoon,paris,honeymoon-in-paris,gotript,numiworks,1.0,1.0,1.0,0.29,0.02,3087,8294,Y,index,index,Y,"gotript:200,gobookt:308,numiworks:200,stayviaowner:200",,
occasion:honeymoon,paris,honeymoon-in-paris,gotript,stayviaowner,1.0,1.0,1.0,0.81,0.8,3087,2803,Y,index,"noindex, follow",Y,"gotript:200,gobookt:308,numiworks:200,stayviaowner:200",,
occasion:honeymoon,rome,honeymoon-in-rome,gotript,numiworks,1.0,1.0,1.0,0.29,0.03,3033,8194,Y,index,index,Y,"gotript:200,gobookt:308,numiworks:200,stayviaowner:200",,
