url,route_family,city,theme,action,redirect_target,expected_target_status,sitemap_section,recommended_final_action
/things-to-do-in-tokyo,things-to-do,tokyo,,redirect,/top-attractions-in-tokyo,200,(removed from sitemap: 308),redirect (shipped)
/best-family-activities-in-tokyo,themed-list,tokyo,family,redirect,/family-hotels-in-tokyo,200,(removed from sitemap: 308),redirect (shipped)
/best-food-tours-in-tokyo,themed-list,tokyo,food,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/day-trips-from-tokyo,themed-list,tokyo,day-trips,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/honeymoon-in-tokyo,themed-list,tokyo,honeymoon,redirect,/luxury-hotels-in-tokyo,200,(removed from sitemap: 308),redirect (shipped)
/solo-travel-in-tokyo,themed-list,tokyo,solo-travel,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/girls-trip-in-tokyo,themed-list,tokyo,girls-trip,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/rainy-day-in-tokyo,themed-list,tokyo,rainy-day,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/night-in-tokyo,themed-list,tokyo,night,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/spring-in-tokyo,themed-list,tokyo,spring,redirect,/best-time-to-visit-tokyo,200,(removed from sitemap: 308),redirect (shipped)
/summer-in-tokyo,themed-list,tokyo,summer,redirect,/best-time-to-visit-tokyo,200,(removed from sitemap: 308),redirect (shipped)
/fall-in-tokyo,themed-list,tokyo,fall,redirect,/best-time-to-visit-tokyo,200,(removed from sitemap: 308),redirect (shipped)
/winter-in-tokyo,themed-list,tokyo,winter,redirect,/best-time-to-visit-tokyo,200,(removed from sitemap: 308),redirect (shipped)
/tokyo-with-kids,themed-list,tokyo,with-kids,redirect,/family-hotels-in-tokyo,200,(removed from sitemap: 308),redirect (shipped)
/tokyo-with-teens,themed-list,tokyo,with-teens,redirect,/family-hotels-in-tokyo,200,(removed from sitemap: 308),redirect (shipped)
/tokyo-airport-guide,themed-list,tokyo,airport-guide,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/tokyo-budget-per-day,themed-list,tokyo,budget-per-day,redirect,/cheap-hotels-in-tokyo,200,(removed from sitemap: 308),redirect (shipped)
/bachelor-party-in-tokyo,themed-list,tokyo,bachelor-party,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/bachelorette-party-in-tokyo,themed-list,tokyo,bachelorette-party,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/weekend-in-tokyo,weekend,tokyo,,redirect,/destinations/tokyo,200,(removed from sitemap: 308),redirect (shipped)
/tokyo-2-day-itinerary,itinerary,tokyo,,redirect,/destinations/tokyo,200,(removed from sitemap: 308),redirect (shipped)
/tokyo-3-day-itinerary,itinerary,tokyo,,redirect,/destinations/tokyo,200,(removed from sitemap: 308),redirect (shipped)
/tokyo-4-day-itinerary,itinerary,tokyo,,redirect,/destinations/tokyo,200,(removed from sitemap: 308),redirect (shipped)
/tokyo-5-day-itinerary,itinerary,tokyo,,redirect,/destinations/tokyo,200,(removed from sitemap: 308),redirect (shipped)
/tokyo-7-day-itinerary,itinerary,tokyo,,redirect,/destinations/tokyo,200,(removed from sitemap: 308),redirect (shipped)
/first-time-in-tokyo,themed-list,tokyo,first-timer,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/is-tokyo-worth-visiting,themed-list,tokyo,worth-visiting,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/hidden-gems-in-tokyo,themed-list,tokyo,hidden-gems,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/most-instagrammable-places-in-tokyo,themed-list,tokyo,instagram,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/luxury-travel-in-tokyo,themed-list,tokyo,luxury,redirect,/luxury-hotels-in-tokyo,200,(removed from sitemap: 308),redirect (shipped)
/how-many-days-in-tokyo,themed-list,tokyo,how-many-days,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/tokyo-for-solo-female-travelers,themed-list,tokyo,solo-female,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/tokyo-bucket-list,themed-list,tokyo,bucket-list,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/private-tours-in-tokyo,themed-list,tokyo,private-tours,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/walking-tours-in-tokyo,themed-list,tokyo,walking-tours,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/things-to-do-in-kyoto,things-to-do,kyoto,,redirect,/top-attractions-in-kyoto,200,(removed from sitemap: 308),redirect (shipped)
/best-family-activities-in-kyoto,themed-list,kyoto,family,redirect,/family-hotels-in-kyoto,200,(removed from sitemap: 308),redirect (shipped)
/best-food-tours-in-kyoto,themed-list,kyoto,food,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/day-trips-from-kyoto,themed-list,kyoto,day-trips,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/honeymoon-in-kyoto,themed-list,kyoto,honeymoon,redirect,/luxury-hotels-in-kyoto,200,(removed from sitemap: 308),redirect (shipped)
/solo-travel-in-kyoto,themed-list,kyoto,solo-travel,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/girls-trip-in-kyoto,themed-list,kyoto,girls-trip,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
/rainy-day-in-kyoto,themed-list,kyoto,rainy-day,held,,,editorial (still listed; noindex interim),manual-review: overlay GSC clicks/impressions + backlinks -> rewrite | redirect | 410
